"videoUrl","authorName","author/id","author/isCreator","author/isVerified","author/name","author/thumbnails/0/height","author/thumbnails/0/url","author/thumbnails/0/width","text","likes","timestamp"
,,"UC9_uPdeTXoDC6m3EtB3zhnQ","false","false","@sudirman5204","88","https://yt3.ggpht.com/ytc/AIdro_m8XKHqSWkWTWqWfEqmk_VKzILNNjD_Lzb82OiQOJGQrEQgbhrNF_TgQFrd7LuMlqJAqQ=s88-c-k-c0x00ffffff-no-rj","88","😂😂😂😂",,
,,"UC8wyskCGIXhjMCdK4ek_ABA","false","false","@sitirahmah3376","88","https://yt3.ggpht.com/ytc/AIdro_kSGfJDEc-ehaGCvwnyuNBr8kfhML-Yew76Nj8hUUSrrke4-fZIU5cLYjQMy1xZcxRHzA=s88-c-k-c0x00ffffff-no-rj","88","Semoga para jurnalis republika Alloh lindungi dan selamatkan dari kaum zionis Amiin..",,
,,"UCXiCcbrED8kiZ8Ld1AaW-gA","false","false","@BowoAbdullah-f6u","88","https://yt3.ggpht.com/ytc/AIdro_lotwq9kZ-zhxXUPYTHDURWd2bPVUP7N6Lmrz_CAiHeSQgwSE_79junSbEt4Q9YRbEFbA=s88-c-k-c0x00ffffff-no-rj","88","Bagaimana ni Reaksi Pejabat, Pemimpin Indonesia. Terhadap zionis negosida israel.",,
,,"UCkwRBmIk8XR4mj23Np6knHQ","false","false","@SintoBria","88","https://yt3.ggpht.com/ytc/AIdro_lqZZRWVeH6XqGcG2ZzeqBwu4JEmbDI7YNnRMhtqBHk1FvxA0I=s88-c-k-c0x00ffffff-no-rj","88","Itu aktifis ilegal yang masuk Israel tanpa izin maka di anggap teroris paham itu....",,
,,"UCHtyriOPAdKNCaN7wzDCSRw","false","false","@AgusWaluyo-o8d7g","88","https://yt3.ggpht.com/ytc/AIdro_nHNmhgK4mtwlkvbYzWQNsHe7dvV4nJKisK6SmVW8O7u9Pa8T0cWxyinae9f8_eisKzEw=s88-c-k-c0x00ffffff-no-rj","88","Mana berani...para pangkat Bintang itu...mereka sudah Hidup nyaman...pasti akan takut Terhadap siapa pun yg sama sama punya senjata dan punya potensi akan membahayakan nyawanya..",,
,,"UCg_L_diS-rTI6xQybPcfaHA","false","false","@PaulusCat","88","https://yt3.ggpht.com/ytc/AIdro_nd-vlBKVo5vb_gAzEJPPrEUmKAXLoruOBOoJd_R_KvGKjJu7amWAiwOcKi9RlsoFVuaw=s88-c-k-c0x00ffffff-no-rj","88","Pot9ng tangan mrk",,
,,"UCGWp8erhkMbLB8IYEjPuE-g","false","false","@tjiptadisetyokusumo7964","88","https://yt3.ggpht.com/ytc/AIdro_nnvapz-_JpWyyMzx7ZxhhHsWePETRT7qW4nQZFBh0=s88-c-k-c0x00ffffff-no-rj","88","Pekerjaan  Apapun  Punya  Resiko....
Pilih  Resiko yang  paling  Kecil
Sebelum  Berbuat Atau Memulai 
Pekerjaan  yang  akan kita  kerjakan...
Jangan  Memaksakan  orang lain
Untuk  memahami  kita...
Kitalah yang  harus  mengertiin dan menyesuaikan dengan suasana  diluar sana  
Biar  Aman...Slamet. 🎉🎉",,
,,"UCZUBJ9XH0b_4-srkUfCbQHg","false","false","@KhendingHutagalung","88","https://yt3.ggpht.com/ytc/AIdro_m4jJbEjL0SIaIOtfApQMcEAEbnC-hAy2naWEzpzZ-wcWvyVBEhmP2ZNn6PyBDPQpvKQA=s88-c-k-c0x00ffffff-no-rj","88","Jurnalis cari mati, sudah tahu Indonesia tidak di terima di situ",,
,,"UCpErbO0eqJ11AvxAEI7REyg","false","false","@mouzaalfatih4802","88","https://yt3.ggpht.com/ytc/AIdro_maFvjGfHiQ6xAV_LK4g9IQhf8G8teNHwpOkkSbbz4=s88-c-k-c0x00ffffff-no-rj","88","❤❤❤❤❤",,
,,"UCAAJ8c1XagUuAxhZTDAC5Vg","false","false","@KhairunnisaAzkasaniya","88","https://yt3.ggpht.com/ytc/AIdro_kvlWfpFiGDsOuWN8WC7fbTg_M3GnIyZoNdq97hjvUJDaKXfd4Br8mhKtbUbhXvgfORVQ=s88-c-k-c0x00ffffff-no-rj","88","sudah resiko masuk area konflik",,
,,"UCmowpos0ukkYlwmfvnT2j7Q","false","false","@Imaniman-eq6nm","88","https://yt3.ggpht.com/ytc/AIdro_nK8-2S8Mp_9iHgM6KD_W9H-WTUmsXZHxezS9hOvy8=s88-c-k-c0x00ffffff-no-rj","88","Molis wajib 300 km sekali cas dinamo minimal 6000 watt,pendingin dinamo, batre milik harga murah 10 juto wajib",,
,,"UCC90THCYMSHExjOpHzl_0lw","false","false","@Angga-gt3xh","88","https://yt3.ggpht.com/ytc/AIdro_nHNmhgK4mtwlkvbYzWQNsHe7dvV4nJKisK6SmVW8O7u9Pa8T0cWxyinae9f8_eisKzEw=s88-c-k-c0x00ffffff-no-rj","88","Tanpa izin pemerintah artinya ilegal 😂 memasuki wilayah terlarang artinya menyusup 😂 wajar kalau di tangkap !!! 😂",,
,,"UCVT85sU0EDOtxzwA9P48hVQ","false","false","@abrahamtidore5496","88","https://yt3.ggpht.com/ytc/AIdro_l7KMA2U6Jbi0Q1I7QM--IIAzFWbd_-smPfnGoQ0fcu-_w=s88-c-k-c0x00ffffff-no-rj","88","berarti jgn asal masuk di area konfilk pace",,
,,"UCZGyvsKq2FEg0lD-csV1uvw","false","false","@bahteratarigan6906","88","https://yt3.ggpht.com/ytc/AIdro_kxaPCV2L3fp3myoqjqCfBYo2tEnef6unhHc4tWv0_mFCU=s88-c-k-c0x00ffffff-no-rj","88","Sik kemanusiaan lu.. rasakan",,
